#"Step"	"Speed (ns/day)"	"Elapsed Time (s)"
1000000	0	0.0008943080902099609
2000000	765	1128.8699398040771
3000000	768	2248.6197249889374
4000000	768	3373.7906181812286
5000000	765	4517.704026222229
6000000	763	5661.236439943314
7000000	761	6810.725362300873
8000000	761	7949.628419876099
9000000	761	9080.385252714157
10000000	762	10202.987438440323
11000000	763	11317.703956842422
12000000	764	12447.333532094955
13000000	763	13593.932563781738
14000000	762	14741.798171281815
15000000	761	15890.788708209991
16000000	761	17036.901579856873
